back away|[bæk əˈweɪ]|отступать, пятиться
back off||отступить; притормозить
be back|[biː bæk]|вернуться, возвращаться
be off|[biː ɒf]|уходить, уезжать; быть свободным, неработающим
be out||отсутствовать, не быть дома, на месте
be over|[biː ˈəʊvə]|окончиться, завершиться
be up|[biː ʌp]|проснуться; быть бодрствующим; подниматься
be up to||собираться, намереваться что-л. сделать; 2)зависеть от
blow out|[bləʊ aʊt]|разбиться вдребезги; гаснуть; взорвать; 4)погасить
blow up|[bləʊ ʌp]|взорваться; выйти из себя; взрывать
break down|[breɪk daʊn]|полностью расстроиться; сломать(ся)
break in|[breɪk ɪn]|вмешиваться в разговор; врываться, вламываться
break into||вламываться; озариться; разразиться; броситься
break off|[breɪk ɒf]|прервать(ся); отделить(ся)
break out|[breɪk aʊt]|вырваться; вспыхивать; разразиться
break up|[breɪk ʌp]|прекращать; расставаться; расходиться
burst out|[bɜːst aʊt]|воскликнуть; разразиться (смехом и т.п.); 3)вырваться
call back|[kɔːl bæk]|перезвонить; позвать назад
calm down|[kɑːm daʊn]|успокаивать(ся)
carry on|[ˈkærɪ ɒn]|продолжать заниматься чем-л.
carry out|[ˈkærɪ aʊt]|выполнять, осуществлять (план, приказ, обещание ит.п.)
catch up|[kæʧ ʌp]|догнать, настичь, наверстать
check in|[ʧek ɪn]|за)регистрироваться
check out|[ʧek aʊt]|проверять, выяснять; выписаться из
clean up|[kliːn ʌp]|чистить(ся), убирать(ся), приводить в порядок
come across|[kʌm əˈkrɒs]|натолкнуться на, случайно встретить
come along|[kʌm əˈlɒŋ]|идти вместе, сопровождать; приходить,появляться
come back|[kʌm bæk]|возвращаться
come by||заходить, приходить; доставать, получать
come down|[kʌm daʊn]|спускаться, опускаться; падать
come forward|[kʌm ˈfɔːwəd]|выходить вперед, выдвигаться
come from||происходить из, от (по причине), взяться
come in|[kʌm ɪn]|входить; приходить, прибывать
come off|[kʌm ɒf]|отделяться, отрываться, покидать, сходить, слезать
come on|[ˈkʌm ɔːn]|давай!, пошли!; кончай!, брось!; проходить,приходить
come out|[kʌm aʊt]|выходить; появляться, возникать; получаться
come over|[kʌm ˈəʊvə]|приходить, подходить, заезжать
come up|[kʌm ʌp]|появляться, возникать; подниматься, приближаться
count on||рассчитывать на что-л., кого-л.
cut off|[kʌt ɒf]|отрезать, отсекать; прерывать
cut out|[kʌt aʊt]|вырезать; прекращать(ся); пресекать
end up|[end ʌp]|кончить, закончить, попасть, оказаться
fall down|[fɔːl daʊn]|падать, упасть, рухнуть
fall off|[fɔːl ɒf]|падать; отпадать, отваливаться
figure out|[ˈfɪgə aʊt]|сообразить, выяснить, понять, разобраться
find out|[faɪnd aʊt]|выяснить, разузнать, обнаружить, найти
get along|[get əˈlɔŋ]|уживаться, ладить; поживать; справляться сделами
get around|[get əˈraʊnd]|обойти, преодолеть; справиться; перехитрить
get away|[get əˈweɪ]|удрать, ускользнуть; уходить
get back|[get bæk]|вернуть(ся)
get down|[get daʊn]|опустить(ся)
get in|[get ɪn]|войти, забраться в, проникнуть, попасть в
get off|[get ɔf]|выходить, покидать; уносить, удалять; 3)уходи!
get on|[get ɔn]|садиться на (в); приступить к; продолжить
get out|[get aʊt]|уходить, уезжать; выходить; вынимать,вытаскивать
get over|[get ˈəʊvə]|справиться; понять;добраться до; перейти,перелезть
get through|[get θruː]|проходить, проникать через; выдержать,справиться
get up|[get ʌp]|вставать, подниматься; просыпаться
give up|[gɪv ʌp]|сдаться, отказаться; оставить, бросить; 2)отдавать
go along|[gəʊ əˈlɒŋ]|соглашаться, поддерживать; идти вместе,сопровождать
go around|[gəʊ əˈraʊnd]|расхаживать повсюду; обойти вокруг; двигатьсяпо кругу
go away|[gəʊ əˈweɪ]|уходить, уезжать
go back|[gəʊ bæk]|возвращаться
go by|[gəʊ baɪ]|проходить/проезжать мимо; проходить (овремени)
go down|[gəʊ daʊn]|спускаться, идти, ехать вниз
go in|[gəʊ ɪn]|входить
go off|[gəʊ ɒf]|уходить, уезжать; убегать, улетать
go on|[gəʊ ɒn]|продолжай(те)!; продолжать(ся); происходить
go out|[gəʊ aʊt]|выходить
go over|[gəʊ ˈəʊvə]|подойти, приехать; повторять, перепроверять
go through|[gəʊ θruː]|пройти через, сквозь; повторять; тщательноизучать
go up|[gəʊ ʌp]|подниматься
grow up|[grəʊ ʌp]|вырастать, становиться взрослым
hang around|[hæŋ əˈraʊnd]|слоняться, бездельничать, болтаться без дела
hang on|[hæŋ ɒn]|держи(те)сь!; подожди(те)!; цепляться,хвататься
hang up|[hæŋ ʌp]|повесить, положить трубку; висеть; повеситьчто-л.
help out|[help aʊt]|помочь, выручить, вывести из затруднит. положения
hold on|[həʊld ɒn]|держи(те)сь!; подожди(те); держаться,вцепиться
hold out|[həʊld aʊt]|протягивать, вытягивать
hold up|[həʊld ʌp]|поднимать
keep on|[kiːp ɒn]|продолжать
keep up|[kiːp ʌp]|не отставать; продолжать; поддерживать
knock down|[nɒk daʊn]|сбить с ног; сносить, разрушать; понижать
knock off|[nɒk ɒf]|уничтожить; прекратить; уронить, сбросить
knock out|[nɒk aʊt]|оглушить, вырубить;поразить; выбить
let in|[let ɪn]|впускать
let out|[let aʊt]|выпускать, освобождать
lie down|[laɪ daʊn]|лечь, прилечь
line up|[laɪn ʌp]|выстраивать(ся), становиться в линию, ряд, очередь
look back|[lʊk bæk]|оглядываться, оборачиваться
look down|[lʊk daʊn]|смотреть, смотреть вниз
look for|[lʊk fɔː]|искать, подыскивать; присматривать
look forward to|[lʊk ˈfɔːwəd tuː]|ожидать с удовольствием/с нетерпением
look out|[lʊk aʊt]|выглядывать; быть осторожным
look over|[lʊk ˈəʊvə]|смотреть; просматривать; осматривать
make out|[meɪk aʊt]|понимать, различать; составлять; 3)справляться
make up|[meɪk ʌp]|составлять; сочинять; компенсировать
move in|[muːv ɪn]|въезжать/ поселяться; входить
move on|[muːv ɒn]|идти дальше; продолжать движение
move out|[muːv aʊt]|съезжать; выдвигаться, выходить
pass out|[pɑːs aʊt]|терять сознание; раздавать, распределять
pick up|[pɪk ʌp]|взять, подхватить, подобрать, поднять (в оченьшироком смысле слова: любой предмет , человека, сигнал, звук, запах, след ит.п.)
point out|[pɔɪnt aʊt]|указывать; подчеркивать; заметить
pull a way||отъезжать, трогаться; отпрянуть, отстраниться
pull off|[pʊl ɒf]|снимать, стаскивать; справиться, выполнить; 3)съехать
pull on|[pʊl ɒn]|натягивать (одевать); тянуть (на себя)
pull out|[pʊl aʊt]|вытаскивать, вынимать; отъезжать, выезжать
pull up|[pʊl ʌp]|подъезжать, останавливаться
put a way||убирать, отложить, прятать
put down|[pʊt daʊn]|положить, опустить
put in|[pʊt ɪn]|вставлять
put on|[pʊt ɒn]|надевать, одевать; включать, приводить вдействие
put out|[pʊt aʊt]|вытягивать; выставлять; тушить
put up|[pʊt ʌp]|поднимать; строить; финансировать
run away|[rʌn əˈweɪ]|убегать, удирать
run into||встретить, столкнуться, наскочить
run off|[rʌn ɒf]|удирать, убегать, сбегать
run out|[rʌn aʊt]|выбегать; кончаться, истощаться
run over|[rʌn ˈəʊvə]|подбегать; переехать, задавить
set down|[set daʊn]|поставить, положить
set off|[set ɔf]|отправляться (в путь); вызывать (действие)
set up|[set ʌp]|устраивать, организовывать, создавать
settle down|[setl daʊn]|усаживаться; поселяться; успокаиваться
shoot out|[ʃuːt aʊt]|выскочить, вылететь
show up|[ʃəʊ ʌp]|появляться, приходить
shut down|[ʃʌt daʊn]|закрыть, прикрыть; выключить, отключить
shut up|[ʃʌt ʌp]|заставить замолчать, заткнуть
sit back|[sɪt bæk]|откинуться назад/на спинку сиденья
sit down|[sɪt daʊn]|садиться, усаживаться, занимать место
sit up|[sɪt ʌp]|приподняться, сесть из лежачего положения
spread out|[spred aʊt]|растягивать(ся),развертывать(ся), расширять(ся)
stand by|[stænd baɪ]|приготовиться; ждать; поддерживать
stand out|[stænd aʊt]|выделяться, выступать, быть заметным
stand up|[stænd ʌp]|вставать, выпрямляться
stick out|[stɪk aʊt]|торчать, выпирать; вытягивать, протягивать
switch off|[swɪʧ ɒf]|выключать
switch on|[swɪʧ ɒn]|включать
take away|[teɪk əˈweɪ]|убирать, забирать; отбирать, отнимать
take back|[teɪk bæk]|отдать обратно/назад; взять назад/обратно
take in|[teɪk ɪn]|вбирать, воспринимать; впустить, приютить
take off|[teɪk ɒf]|снимать (с себя); уходить, уезжать
take on|[teɪk ɒn]|приобретать, принимать (форму, вид, свойство и т.п.)
